geo_country,geo_region,geo_city,geo_dma_bespoke_city
AUS,NSW,WAGGA_WAGGA,SYDNEY_TV
AUS,NSW,BLAXLAND,SYDNEY_TV
AUS,NSW,CHARLESTOWN,SYDNEY_TV
AUS,NSW,WOONONA,SYDNEY_TV
AUS,NSW,BERKELEY_VALE,SYDNEY_TV
AUS,NSW,WYONG,SYDNEY_TV
AUS,NSW,AVOCA_BEACH,SYDNEY_TV
AUS,NSW,PORT_MACQUARIE,SYDNEY_TV
AUS,NSW,MEREWETHER,SYDNEY_TV
AUS,NSW,BUDGEWOI,SYDNEY_TV
AUS,NSW,HAMILTON,SYDNEY_TV
AUS,NSW,GREGORY_HILLS,SYDNEY_TV
AUS,NSW,MORUNDAH,SYDNEY_TV
AUS,NSW,CESSNOCK,SYDNEY_TV
AUS,NSW,FIGTREE,SYDNEY_TV
AUS,NSW,EAST_MAITLAND,SYDNEY_TV
AUS,NSW,MOUNT_COLAH,SYDNEY_TV
AUS,NSW,NEW_LAMBTON,SYDNEY_TV
AUS,NSW,LAMBTON,SYDNEY_TV
AUS,NSW,CAMDEN,SYDNEY_TV
AUS,NSW,ERINA,SYDNEY_TV
AUS,NSW,ARMIDALE,SYDNEY_TV
AUS,NSW,CORRIMAL,SYDNEY_TV
AUS,NSW,HOXTON_PARK,SYDNEY_TV
AUS,NSW,ALBURY,SYDNEY_TV
AUS,NSW,GOULBURN,SYDNEY_TV
AUS,NSW,AUSTRAL,SYDNEY_TV
AUS,NSW,DAPTO,SYDNEY_TV
AUS,NSW,BALLINA,SYDNEY_TV
AUS,NSW,WAMBERAL,SYDNEY_TV
AUS,NSW,ADAMSTOWN,SYDNEY_TV
AUS,NSW,KARIONG,SYDNEY_TV
AUS,NSW,ORANGE,SYDNEY_TV
AUS,NSW,GLENBROOK,SYDNEY_TV
AUS,NSW,BATHURST,SYDNEY_TV
AUS,NSW,DUBBO,SYDNEY_TV
AUS,NSW,UNANDERRA,SYDNEY_TV
AUS,NSW,BYRON_BAY,SYDNEY_TV
AUS,NSW,FAIRY_MEADOW,SYDNEY_TV
AUS,NSW,THORNTON,SYDNEY_TV
AUS,NSW,LISMORE,SYDNEY_TV
AUS,NSW,WALLSEND,SYDNEY_TV
AUS,NSW,LISAROW,SYDNEY_TV
AUS,NSW,ELEEBANA,SYDNEY_TV
AUS,NSW,GRIFFITH,SYDNEY_TV
AUS,NSW,BLACKWALL,SYDNEY_TV
AUS,NSW,EMU_PLAINS,SYDNEY_TV
AUS,NSW,OURIMBAH,SYDNEY_TV
AUS,NSW,WILBERFORCE,SYDNEY_TV
AUS,NSW,TAMWORTH,SYDNEY_TV
AUS,NSW,NOWRA,SYDNEY_TV
AUS,NSW,EAST_GOSFORD,SYDNEY_TV
AUS,NSW,WARATAH,SYDNEY_TV
AUS,NSW,THIRROUL,SYDNEY_TV
AUS,NSW,BOWRAL,SYDNEY_TV
AUS,NSW,AWABA,SYDNEY_TV
AUS,NSW,PITT_TOWN,SYDNEY_TV
AUS,NSW,POINT_CLARE,SYDNEY_TV
AUS,NSW,OATLEY,SYDNEY_TV
AUS,NSW,GALSTON,SYDNEY_TV
AUS,NSW,MCGRATHS_HILL,SYDNEY_TV
AUS,NSW,BILAMBIL,SYDNEY_TV
AUS,NSW,JERRABOMBERRA,SYDNEY_TV
AUS,NSW,KOTARA,SYDNEY_TV
AUS,NSW,PAMBULA,SYDNEY_TV
AUS,NSW,EMPIRE_BAY,SYDNEY_TV
AUS,NSW,ALBION_PARK,SYDNEY_TV
AUS,NSW,DAVIDSON,SYDNEY_TV
AUS,NSW,RAYMOND_TERRACE,SYDNEY_TV
AUS,NSW,TWEED_HEADS,SYDNEY_TV
AUS,NSW,KEMPSEY,SYDNEY_TV
AUS,NSW,SHELLHARBOUR,SYDNEY_TV
AUS,NSW,BULLI,SYDNEY_TV
AUS,NSW,LONDONDERRY,SYDNEY_TV
AUS,NSW,FREEMANS_REACH,SYDNEY_TV
AUS,NSW,EAGLE_VALE,SYDNEY_TV
AUS,NSW,KANWAL,SYDNEY_TV
AUS,NSW,TOUKLEY,SYDNEY_TV
AUS,NSW,MUDGEE,SYDNEY_TV
AUS,NSW,MARYLAND,SYDNEY_TV
AUS,NSW,BANGOR,SYDNEY_TV
AUS,NSW,LITHGOW,SYDNEY_TV
AUS,NSW,VOYAGER_POINT,SYDNEY_TV
AUS,NSW,BALGOWNIE,SYDNEY_TV
AUS,NSW,KATOOMBA,SYDNEY_TV
AUS,NSW,SOMERSBY,SYDNEY_TV
AUS,NSW,CASINO,SYDNEY_TV
AUS,NSW,WOLLONGBAR,SYDNEY_TV
AUS,NSW,LAKE_MUNMORAH,SYDNEY_TV
AUS,NSW,EDMONDSON_PARK,SYDNEY_TV
AUS,NSW,COORANBONG,SYDNEY_TV
AUS,NSW,GLENORIE,SYDNEY_TV
AUS,NSW,JINDABYNE,SYDNEY_TV
AUS,NSW,HARRINGTON,SYDNEY_TV
AUS,NSW,STOCKTON,SYDNEY_TV
AUS,NSW,APPIN,SYDNEY_TV
AUS,NSW,RUTHERFORD,SYDNEY_TV
AUS,NSW,KIAMA,SYDNEY_TV
AUS,NSW,CONISTON,SYDNEY_TV
AUS,NSW,WARRIMOO,SYDNEY_TV
AUS,NSW,BROADMEADOW,SYDNEY_TV
AUS,NSW,CATHERINE_HILL_BAY,SYDNEY_TV
AUS,NSW,LAVINGTON,SYDNEY_TV
AUS,NSW,DORA_CREEK,SYDNEY_TV
AUS,NSW,WAITARA,SYDNEY_TV
AUS,NSW,MONTEREY,SYDNEY_TV
AUS,NSW,LAKE_ILLAWARRA,SYDNEY_TV
AUS,NSW,KURRI_KURRI,SYDNEY_TV
AUS,NSW,BELLAMBI,SYDNEY_TV
AUS,NSW,SHORTLAND,SYDNEY_TV
AUS,NSW,GLOSSODIA,SYDNEY_TV
AUS,NSW,LAWRENCE,SYDNEY_TV
AUS,NSW,TOORMINA,SYDNEY_TV
AUS,NSW,BROWNSVILLE,SYDNEY_TV
AUS,NSW,BURRANEER,SYDNEY_TV
AUS,NSW,HAZELBROOK,SYDNEY_TV
AUS,NSW,KILLCARE,SYDNEY_TV
AUS,NSW,NORAVILLE,SYDNEY_TV
AUS,NSW,THREDBO,SYDNEY_TV
AUS,NSW,TAREE,SYDNEY_TV
AUS,NSW,ALPINE,SYDNEY_TV
AUS,NSW,SWANSEA,SYDNEY_TV
AUS,NSW,BERESFIELD,SYDNEY_TV
AUS,NSW,WYEE,SYDNEY_TV
AUS,NSW,CLAYMORE,SYDNEY_TV
AUS,NSW,YOUNG,SYDNEY_TV
AUS,NSW,GRAFTON,SYDNEY_TV
AUS,NSW,HOLROYD,SYDNEY_TV
AUS,NSW,BENSVILLE,SYDNEY_TV
AUS,NSW,BONNET_BAY,SYDNEY_TV
AUS,NSW,MITTAGONG,SYDNEY_TV
AUS,NSW,COMO,SYDNEY_TV
AUS,NSW,ABERGLASSLYN,SYDNEY_TV
AUS,NSW,TORONTO,SYDNEY_TV
AUS,NSW,LOFTUS,SYDNEY_TV
AUS,NSW,FAULCONBRIDGE,SYDNEY_TV
AUS,NSW,LEURA,SYDNEY_TV
AUS,NSW,WEST_WALLSEND,SYDNEY_TV
AUS,NSW,BEAUMONT,SYDNEY_TV
AUS,NSW,AUSTINMER,SYDNEY_TV
AUS,NSW,THE_OAKS,SYDNEY_TV
AUS,NSW,WINDALE,SYDNEY_TV
AUS,NSW,WYONGAH,SYDNEY_TV
AUS,NSW,GATESHEAD,SYDNEY_TV
AUS,NSW,WALLACIA,SYDNEY_TV
AUS,NSW,ORCHARD_HILLS,SYDNEY_TV
AUS,NSW,BONNELLS_BAY,SYDNEY_TV
AUS,NSW,MEDOWIE,SYDNEY_TV
AUS,NSW,KYOGLE,SYDNEY_TV
AUS,NSW,VALLEY_HEIGHTS,SYDNEY_TV
AUS,NSW,ABERDARE,SYDNEY_TV
AUS,NSW,MORISSET,SYDNEY_TV
AUS,NSW,BEGA,SYDNEY_TV
AUS,NSW,REDHEAD,SYDNEY_TV
AUS,NSW,BOLWARRA,SYDNEY_TV
AUS,NSW,MATCHAM,SYDNEY_TV
AUS,NSW,MAITLAND,SYDNEY_TV
AUS,NSW,BATEMANS_BAY,SYDNEY_TV
AUS,NSW,PICTON,SYDNEY_TV
AUS,NSW,TUGGERAWONG,SYDNEY_TV
AUS,NSW,BERKELEY,SYDNEY_TV
AUS,NSW,FORSTER,SYDNEY_TV
AUS,NSW,MURWILLUMBAH,SYDNEY_TV
AUS,NSW,NELSON_BAY,SYDNEY_TV
AUS,NSW,KINGSCLIFF,SYDNEY_TV
AUS,NSW,MOREE,SYDNEY_TV
AUS,NSW,COOMA,SYDNEY_TV
AUS,NSW,ELDERSLIE,SYDNEY_TV
AUS,NSW,YASS,SYDNEY_TV
AUS,NSW,CHITTAWAY_POINT,SYDNEY_TV
AUS,NSW,WOODFORD,SYDNEY_TV
AUS,NSW,MORPETH,SYDNEY_TV
AUS,NSW,WORONORA,SYDNEY_TV
AUS,NSW,BATLOW,SYDNEY_TV
AUS,NSW,MORUYA,SYDNEY_TV
AUS,NSW,MANGERTON,SYDNEY_TV
AUS,NSW,ULLADULLA,SYDNEY_TV
AUS,NSW,WANGI_WANGI,SYDNEY_TV
AUS,NSW,DAVISTOWN,SYDNEY_TV
AUS,NSW,UNIVERSITY_OF_NEW_ENGLAND,SYDNEY_TV
AUS,NSW,DENILIQUIN,SYDNEY_TV
AUS,NSW,CHAIN_VALLEY_BAY,SYDNEY_TV
AUS,NSW,TAHMOOR,SYDNEY_TV
AUS,NSW,WARRAWONG,SYDNEY_TV
AUS,NSW,ASHBY,SYDNEY_TV
AUS,NSW,SANDGATE,SYDNEY_TV
AUS,NSW,BARNSLEY,SYDNEY_TV
AUS,NSW,KURRAJONG_HEIGHTS,SYDNEY_TV
AUS,NSW,MULGOA,SYDNEY_TV
AUS,NSW,WESTON,SYDNEY_TV
AUS,NSW,LUDDENHAM,SYDNEY_TV
AUS,NSW,VINEYARD,SYDNEY_TV
AUS,NSW,BRANXTON,SYDNEY_TV
AUS,NSW,WENTWORTH_FALLS,SYDNEY_TV
AUS,NSW,BUNDEENA,SYDNEY_TV
AUS,NSW,GUNNEDAH,SYDNEY_TV
AUS,NSW,HELENSBURGH,SYDNEY_TV
AUS,NSW,BARHAM,SYDNEY_TV
AUS,NSW,CONNELLS_POINT,SYDNEY_TV
AUS,NSW,JILLIBY,SYDNEY_TV
AUS,NSW,RATHMINES,SYDNEY_TV
AUS,NSW,AGNES_BANKS,SYDNEY_TV
AUS,NSW,HEATHCOTE,SYDNEY_TV
AUS,NSW,THIRLMERE,SYDNEY_TV
AUS,NSW,GROSE_VALE,SYDNEY_TV
AUS,NSW,OCEAN_SHORES,SYDNEY_TV
AUS,NSW,BELLBIRD,SYDNEY_TV
AUS,NSW,BRINGELLY,SYDNEY_TV
AUS,NSW,DUNBOGAN,SYDNEY_TV
AUS,NSW,CHURCH_POINT,SYDNEY_TV
AUS,NSW,BANGALOW,SYDNEY_TV
AUS,NSW,LEMON_TREE_PASSAGE,SYDNEY_TV
AUS,NSW,GWANDALAN,SYDNEY_TV
AUS,NSW,NAMBUCCA_HEADS,SYDNEY_TV
AUS,NSW,NIMBIN,SYDNEY_TV
AUS,NSW,HOLMESVILLE,SYDNEY_TV
AUS,NSW,WARNERVALE,SYDNEY_TV
AUS,NSW,WHITEBRIDGE,SYDNEY_TV
AUS,NSW,WYNDHAM,SYDNEY_TV
AUS,NSW,GREEN_POINT,SYDNEY_TV
AUS,NSW,ISLINGTON,SYDNEY_TV
AUS,NSW,MANNERING_PARK,SYDNEY_TV
AUS,NSW,KYEEMAGH,SYDNEY_TV
AUS,NSW,BRUNDEE,SYDNEY_TV
AUS,NSW,MULLUMBIMBY,SYDNEY_TV
AUS,NSW,SILVERDALE,SYDNEY_TV
AUS,NSW,KOOLEWONG,SYDNEY_TV
