adju_geo_region_name,geo_dma_bespoke,adju_geo_city
SALAMANCA,CASTILLA_Y_LEON,SAN_CRISTOBAL_DE_LA_CUESTA
SALAMANCA,CASTILLA_Y_LEON,VILLORUELA
SEVILLA,ANDALUCIA,TOMARES
GUIPUZCOA,PAIS_VASCO,VILLABONA
TOLEDO,CASTILLA_LA_MANCHA,OTERO
BURGOS,CASTILLA_Y_LEON,HERRERA
NAVARRA,NAVARRA,ERATSUN
NAVARRA,NAVARRA,ESTELLA
NAVARRA,NAVARRA,TIPULATZE
ALICANTE,VALENCIA,BENIGEMBLA
ALICANTE,VALENCIA,DAYA_VIEJA
ALICANTE,VALENCIA,NOVELDA
ALICANTE,VALENCIA,PINAR_DE_BONANZA
ALBACETE,CASTILLA_LA_MANCHA,NAVAS_DE_JORQUERA
ALMERIA,ANDALUCIA,GERGAL
VIZCAYA,PAIS_VASCO,AMBASAGUAS
LA_CORUNA,GALICIA,REDONDELA
GRANADA,ANDALUCIA,ARENAS_DEL_REY
GUADALAJARA,CASTILLA_LA_MANCHA,MALAGUILLA
LERIDA,CATALUNA_,IVARS_DURGELL
LERIDA,CATALUNA_,PALAU_DE_NOGUERA
LEON,CASTILLA_Y_LEON,FONTORIA_DE_CEPEDA
LEON,CASTILLA_Y_LEON,MATALLANA_DE_VALMADRIGAL
LEON,CASTILLA_Y_LEON,VILLAZALA
LUGO,GALICIA,BECERREA
NAVARRA,NAVARRA,ARTAJO
NAVARRA,NAVARRA,ZUGARRAMURDI
ASTURIAS,ASTURIAS,EL_VISO
ISLAS_BALEARES,ISLAS_BALEARES,ALQUERIA_BLANCA
SALAMANCA,CASTILLA_Y_LEON,CIUDAD_RODRIGO
SALAMANCA,CASTILLA_Y_LEON,LAS_VEGUILLAS
TARRAGONA,CATALUNA_,PUIGPELAT
VALENCIA,VALENCIA,MASARROCHOS
VALENCIA,VALENCIA,QUATRETONDA
VALLADOLID,CASTILLA_Y_LEON,VILLACID_DE_CAMPOS
LA_CORUNA,GALICIA,PERILLO
LAS_PALMAS,CANARIAS,FEMES
ALMERIA,ANDALUCIA,CHIRIVEL
ALMERIA,ANDALUCIA,HUERCAL_DE_ALMERIA
LA_CORUNA,GALICIA,LOIS
CIUDAD_REAL,CASTILLA_LA_MANCHA,MEMBRILLA
JAEN,ANDALUCIA,MONTIZON
LERIDA,CATALUNA_,SANT_LLORENC_DE_MORUNYS
LEON,CASTILLA_Y_LEON,CORCOS
LEON,CASTILLA_Y_LEON,QUILOS
LUGO,GALICIA,LOUREIRO
MADRID,MADRID,POZUELO_DE_ALARCON
MURCIA,MURCIA,ALMENDRICOS
ASTURIAS,ASTURIAS,COTOLLANO
ISLAS_BALEARES,ISLAS_BALEARES,CAIMARI
ISLAS_BALEARES,ISLAS_BALEARES,SANT_LLUIS
PONTEVEDRA,GALICIA,AGUASANTAS
CANTABRIA,CANTABRIA,NOVALES
CANTABRIA,CANTABRIA,UBIARCO
SALAMANCA,CASTILLA_Y_LEON,BANOBAREZ
SEVILLA,ANDALUCIA,EL_REAL_DE_LA_JARA
TARRAGONA,CATALUNA_,LA_MASO
TARRAGONA,CATALUNA_,LA_SELVA_DEL_CAMP
TOLEDO,CASTILLA_LA_MANCHA,BURGUILLOS_DE_TOLEDO
VALENCIA,VALENCIA,TERRAMELAR
MADRID,MADRID,TIELMES_DE_TAJUNA
MALAGA,ANDALUCIA,CANILLAS_DE_ACEITUNO
ASTURIAS,ASTURIAS,CUEVAS
BARCELONA,CATALUNA_,CABRERA_DANOIA
